bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
home_livingroom_night,,MusMus-BGM-162,,yuno_c,,smile4,laught,yuno,กลับมาแล้วเหรอ จะรับน้องสาว น้องสาว หรือว่าน้องสาวดีล่ะ,,yuno_2_5_001,,"You're back! Do you want your little sister, your little sister, or your little sister?",
,,,,,,,,yuma,เดี๋ยวสิ มันต้องพูดว่าจะกินข้าว อาบน้ำ หรือว่าฉัน ไม่ใช่เหรอ,,,,"Wait, isn't it supposed to be dinner, bath, or me?",
,,,,,,hehe,,yuno,แล้วตกลงพี่เลือกอันไหน,,yuno_2_5_002,,"So which one did you choose, big brother?",
,,,,,,,,yuma,อาบน้ำ กินข้าว และอาบน้ำอีกครั้ง,,,,"Bath, dinner, and bath again.",
,,,,,,crymeme2,,yuno,แล้วน้องสาวล่ะ แง้~ พี่ใจร้ายที่สุด,,yuno_2_5_003,,"What about me, your little sister? Wah~ You're so mean!",
,,,,hide yuno_c,,,,,ยูโนะดิ้นไปมาบนโซฟาด้วยท่าทางไม่พอใจ,,,,"Yuno squirmed around on the sofa, looking displeased.",
,,,,,,,,yuma,ยูโนะ?,,,,Yuno?,
,,,,,,angry,,yuno,ชิ หนูไม่อยากคุยกับพี่ชายที่หนีเที่ยวแล้วทิ้งให้น้องสาวกินข้าวคนเดียวหรอก,,yuno_2_5_004,,"Hmph, I don't want to talk to a big brother who runs off to play and leaves his little sister to eat dinner alone.",
,,,,,,,,,ยูโนะเบือนหน้าหนี แกล้งทำเป็นไม่สนใจ,,,,"Yuno turned her face away, pretending to ignore me.",
,,,,,,,,yuma,วันนี้มีข่าวว่าเกม Seal Impact เพิ่มเรตกาชาคูณสาม,,,,I heard the gacha rates in Seal Impact tripled today.,
,,,,,,mumu,,yuno,เหรอ,,yuno_2_5_005,,Oh really?,
,,,,,,,,,ยูโนะจงใจพูดด้วยท่าทางไม่สบอารมณ์,,,,Yuno spoke intentionally in an irritated tone.,
,,,,,,,,,ไม่อยากเชื่อ น้องสาวของผมงอนอีกแล้ว,,,,"I can't believe it, my little sister is sulking again.",
,,,,,,,,,ต้องใช้ท่าไม้ตายซะแล้ว,,,,Time to use my secret weapon.,
,,,,,,,,yuma,ยูโนะ พี่ซื้อพุดดิ้งสตรอเบอรี่มาฝาก,,,,"Yuno, I bought you a strawberry pudding.",
,,,,yuno_c,,blank_2,,yuno,คิดว่าหนูเป็นผู้หญิงใจง่ายที่แค่ซื้อพุดดิ้งสตรอเบอรี่แล้วจะหายงอนงั้นเหรอ,,yuno_2_5_006,,You think I'm some simple-minded girl who will stop being mad just because you bought a strawberry pudding?,
,,,,,,,,yuma,จะเอามั้ย,,,,Want it?,
