bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx
school_classroom_evening,,MusMus-BGM-162,,,,,,student_m_a,เห้อ ในที่สุดก็เลิกเรียนสักที,,,
,,,,,,,,student_m_b,เย็นนี้ไปยิมด้วยกันเถอะ ลูกผู้ชายกับกล้ามเนื้อเป็นของคู่กันอยู่แล้ว,,,
,,,,,,,,yuma,ฉันขอผ่าน วันนี้มีงานสภานักเรียนตอนเย็นน่ะสิ,,,
,,,,,,,,student_m_a,อีกแล้วงั้นเหรอเนี่ย,,,
,,,,,,,,student_m_b,ช่วยไม่ได้ ฉันจะรอวันที่มิตรภาพลูกผู้ชายของพวกเราแน่นแฟ้นขึ้นอย่างใจจดใจจ่อ,,,
,,,,,,,,yuma,เว่อร์ไปไหมนั่น,,,
,,,,,,,,student_m_b,ก็ช่วยไม่ได้ ในเมื่อยูมะไม่ว่าง พวกเราสองคนไปฟิตกล้ามล่วงหน้ากันดึกว่า,,,
,,,,,,,,student_m_a,เอ๋ แต่ว่าฉันก็ไม่อยากไปเล่นกล้าม,,,
,,,,,,,,student_m_b,พูดอะไรของนาย ผู้ชายก็ต้องกล้ามใหญ่ๆ สิ พวกสาวๆ ถึงจะชอบ,,,
,,,,,,,,,เพื่อนรักของผมทั้งสองคนเก็บกระเป๋า เดินออกจากห้องเรียนเพื่อมุ่งหน้าสู้เส้นทางลูกผู้ชาย,,,
,,,,,,,,yuma,เห้อ..เอาล่ะถ้างั้นก็คงถึงเวลาของฉันบ้างแล้วสินะ,,,
,,,,reika,,annoy,,reika,ถอนหายใจอะไรกัน ไม่อยากไปทำงานสภานักเรียนกับฉันขนาดนั้นเลยหรือ,,reika_1_4_001,
,,,,,,,,yuma,เปล่าสักหน่อย,,,
,,,,,,angry1,,reika,ถ้างั้นก็มาได้แล้ว ดูเหมือนว่ามีงานอีกเป็นภูเขาเลย,,reika_1_4_002,
,,,,,,,,yuma,เป็นภูเขาเลยเหรอ….,,,
,,,,hide reika,,,,,หลังจากนั้นพวกเราสองคนก็เดินไปห้องสภานักเรียน,,,
,,,,,,,,,………,,,
bg14_d_a_19201080,,MusMus-BGM-034,,akane,,normal,,,เมื่อเปิดประตูเข้าห้องสภานักเรียนก็พบกับอากาเนะ,,,
,,,,,,,,,เธอกำลังเปิดกล่องจดหมายอยู่,,,
,,,,hide akane,,,,yuma,อ้าว วันนี้มีแค่อากาเนะคนเดียวเหรอ คาสึมะแอบอู้สินะ,,,
,,,,reika,akane,normal_2,,reika,คาสึมะไปเตรียมเรื่องการโหวตในวันพรุ่งนี้ต่างหาก ไม่ใช่ทุกคนจะเป็นแบบนายซักหน่อย,,reika_1_4_003,
,,,,hide reika,,,,reika,ว่าแต่อากาเนะ วันนี้มีปัญหาร้องเรียนอะไรบ้างไหม,,reika_1_4_004,
,,,,akane,,ah,,akane,ดูเหมือนว่าจะเป็นจดหมายจากชมรมห้องสมุดอีกแล้วค่ะ,,akane_1_4_001,
