bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en
BG12_d_a_19201080,,MusMus-BGM-34,,,,,,,[Background - ตู้รองเท้าหน้าโรงเรียน BG12_d_a_19201080],,,,[Background - School shoe lockers BG12_d_a_19201080]
,,,,,,,,,ผมเดินเข้ามาข้างในอาคารเรียนได้สำเร็จ,,,,"I successfully make it inside the school building. Suddenly,"
,,,,,,,,,ทันใดนั้นผมก็พบกับรุ่นพี่มายะโดนบังเอิญ,,,,I run into Senior Maya by chance.
,,,,maya,,smile,,maya,อ๊ะ ยูคุงนี่นา อรุณสวัสดิ์,,maya_2_2_001,,"Oh, Yu-kun! Good morning."
,,,,,,,,yuma,รุ่นพี่มายะ อรุณสวัสดิ์ครับ,,,,"Good morning, Senior Maya."
,,,,,,pero,,maya,เมื่อกี้ขอบใจมากเลยนะที่ช่วยเบี่ยงเบนความสนใจไว้ วันนี้ฉันเลยรอดจากการตรวจตราหน้าโรงเรียน,,maya_2_2_002,,Thanks a lot for diverting her attention earlier. I managed to avoid the entrance inspection today.
,,,,,,,,yuma,ผมยังไม่ได้ทำอะไรเลย,,,,"I didn't do anything, though."
,,,,,,yasashi,,maya,ไม่มีใครกล้าต่อล้อต่อเถียงกับแม่สาวน้อยกรรมการระเบียบวินัยคนนั้นหรอกนะ เท่าที่ฉันเห็นก็มีแค่นายคนเดียวเนี่ยแหละ,,maya_2_2_003,,"No one dares to argue with that little miss disciplinary committee. As far as I can see, you're the only one."
,,,,hide maya,,,,,พอลองคิดดูแล้วก็จริงอย่างที่รุ่นพี่มายะพูด ไม่เคยมีใครโต้แย้งอากาเนะได้สำเร็จ,,,,"Thinking about it, Senior Maya is right. No one has ever successfully argued with Akane."
,,,,,,,,,อากาเนะเป็นคนที่ยึดมั่นในกฎระเบียบตามตัวอักษรทุกกระเบียดนิ้ว,,,,Akane adheres strictly to every letter of the rules.
,,,,,,,,,ต่อให้อยากเถียงก็เถียงไม่ได้ เพราะทำผิดกฎระเบียบจริงๆ,,,,"Even if you want to argue, you can't, because you're actually breaking the rules."
,,,,,,,,yuma,ว่าแต่มาบอกผมที่เป็นคนจากสภานักเรียนจะดีเหรอ,,,,"By the way, is it okay to tell me this? I'm from the student council."
,,,,maya,,hee_2,,maya,ฉันเชื่อว่านายคงไม่เอาเรื่องนี้ไปบอกคุณกรรมการระเบียบวินัยสุดโหดแน่นอน,,maya_2_2_004,,I trust you won't report this to the super-strict disciplinary committee member.
,,,,,,,,yuma,ไม่ขนาดนั้นหรอก ในความคิดผมอากาเนะแค่เคร่งครัดกว่าปกตินิดหน่อยเท่านั้นเอง,,,,"It's not like that. In my opinion, Akane is just a bit stricter than normal, that's all."
,,,,,,angry,,maya,คำว่านิดหน่อยของแต่ละคนไม่เท่ากัน บางทีนิดหน่อยของนายอาจจะหมายถึงสุดขั้วของคนอื่นก็ได้นะ,,maya_2_2_005,,Everyone's definition of 'a bit' is different. Your 'a bit' might be someone else's extreme.
,,,,,,,,yuma,ถ้าลองเปรียบเทียบเป็นสเกลตัวเลขหนึ่งถึงสิบ โดยที่เต็ม 10 หมายถึงเคร่งมาก รุ่นพี่มายะให้คะแนนเท่าไหร่,,,,"If we compare it on a scale of one to ten, with ten being very strict, how would you rate her, Senior Maya?"
,,,1,,,yada,,maya,"ให้ไปเลย 1,000,000",,maya_2_2_006,,"I'd give her 1,000,000."
,,,,,,,,yuma,เป็นล้านเลยเหรอพี่!!!,,,,A million?! Senior!!!
,,,,,,think,,maya,ฉันพูดจริง ขอยกให้เป็นนัมเบอร์วันด้านการรักษากฎ—-,,maya_2_2_007,,I'm serious. I'd crown her the number one rule enforcer—
,,,,,,,,,จู่ๆ รุ่นพี่มายะก็หยุดพูดอย่างกะทันหัน,,,,"Suddenly, Senior Maya stops talking abruptly."
,,,,,,wink,,maya,ฉันขอตัวก่อน ไว้เจอกันใหม่นะ ยูคุง~☆,,maya_2_2_008,,"I've got to go. See you later, Yu-kun~☆"
,,,,hide maya,,,,,[SFX - เสียงฟิ้ววว (วิ่งด้วยความรวดเร็ว)],,,家の階段を駆け上る,[SFX - Whoosh sound (running at high speed)]
,,,,,,,,,[VFX - sprite มายะแฉลบออกจากหน้าจออย่างรวดเร็ว],,,,[VFX - Maya's sprite quickly slides off the screen]
,,,,,,,,,พอพูดจบ รุ่นพี่มายะก็รีบวิ่งขึ้นบันไดไปอย่างรวดเร็ว,,,,"As soon as she finishes speaking, Senior Maya hurriedly runs up the stairs,"
,,,,,,,,,ราวกับว่ารุ่นพี่มายะไม่ได้อยู่ตรงนี้ตั้งแต่แรก,,,,As if she was never here in the first place.
,,,,,,,,yuma,อ้าว อะไรของรุ่นพี่มายะ แปลกชะมัด,,,,Huh? What's up with Senior Maya? That was weird.
,,,,,,,,,ทันใดนั้นผมก็รู้สาเหตุที่รุ่นพี่มายะทำตัวลุกลี้ลุกลนผิดปกติ,,,,"Just then, I realize the reason for Senior Maya's unusual behavior."
,,,0,akane,,normal,,akane,รุ่นพี่ยูมะ ทำอะไรอยู่หรือเปล่าคะ,,akane_2_2_001,,"Senior Yuma, are you doing something?"
,,,,,,,,,จู่ๆ อากาเนะก็ปรากฏตัวมาจากทางข้างหลังผม,,,,"Suddenly, Akane appears from behind me."
,,,,,,,,yuma,ตกใจหมดเลย,,,,I'm completely startled.
,,,,,,serious,,akane,มีอะไรเหรอ,,akane_2_2_002,,"""Is something wrong?"""
,,,,,,,,yuma,ปะ… เปล่า ไม่มีอะไรทั้งนั้น,,,,"Uh... no, nothing at all."
,,,,,,ah,,akane,ถ้างั้นช่วยเอาเอกสารฉบับนี้ไปให้รองประธานฯ ที่ห้องสภานักเรียนหน่อย,,akane_2_2_003,,"In that case, could you take this document to the vice president in the student council room?"
,,,,,,,,yuma,อื้ม ได้เลย,,,,"Um, sure."
,,,,hide akane,,,,,นึกว่าจะโดนด่าซะแล้ว ที่แท้ก็เอกสารสรุปจำนวนนักเรียนที่มาสายในวันนี้,,,,I thought I was going to get scolded. Turns out it's just a summary of today's late students.
,,,,,,,,,ทุกเช้า อากาเนะจะรวบรวมสถิตินักเรียนที่มาสาย,,,,"Every morning, Akane compiles statistics on late students."
,,,,,,,,,เธอตั้งเป้าหมายว่าจำนวนนักเรียนที่มาสายจะต้องลดลงทุกเดือน,,,,Her goal is to reduce the number of late students every month.
,,,,,,,,,ซึ่งเดือนนี้จำนวนนักเรียนที่มาสายมีแนวโน้มลดลงอย่างมาก เพราะเธอยืนต้อนรับหน้าโรงเรียนอย่างกวดขันทุกวัน,,,,"This month, the number of late students has significantly decreased, thanks to her strict monitoring at the school entrance every day."
school_corridor_noon,,MusMus-BGM-79,,,,,,,ขณะที่ผมกำลังเดินไปที่ห้องสภานักเรียน เท้าของผมก็สะดุดกับอะไรบางอย่าง,,,,"As I'm walking to the student council room, my foot catches on something."
,,,,,,,,yuma,หืม? อะไรตกอยู่ที่พื้น,,,,Hm? What's that on the floor?
,,,,,,,,,วัตถุขนาดสี่เหลี่ยมผืนผ้าตกอยู่ที่พื้น เมื่อหยิบขึ้นมาก็พบว่าเป็นบัตรนักเรียน,,,,"A rectangular object is lying on the ground. When I pick it up, I see it's a student ID card."
,student card,,,,,,,,[SD - บัตรนักเรียนมายะ student card],,,,[SD - Maya's student card]
,,,,,,,,yuma,ชิราซากิ… มายะ…,,,,Shirasaki... Maya...
,,,,,,,,yuma,นี่มันบัตรนักเรียนของรุ่นพี่มายะนี่นา เผลอทำหล่นตอนวิ่งหนีอากาเนะเมื่อกี้นี้แน่เลย,,,,This is Senior Maya's student ID. She must have dropped it while running from Akane earlier.
