bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,
school_classroom_noon,border,MusMus-BGM-139,,,,,,,ผมเข้ามาในห้องเรียนขณะนี้ยังไม่ถึงเวลาเรียน นักเรียนแต่คนละคนจึงจับกลุ่มคุยกัน,,,,
,,,,,,,,student_f_a,เรื่องงดขายน้ำอัดลมเมื่อเช้า คิดว่าไงบ้าง,,,,
,,,,,,,,student_f_b,ไม่เอาด้วยหรอก ไม่มีอะไรสดชื่นไปกว่าน้ำอัดลมแล้ว,,,,
,,,,,,,,,ดูเหมือนว่าเพื่อนร่วมชั้นทุกคนต่างกำลังคุยกันเรื่องการงดจำหน่ายน้ำอัดลม,,,,
,hide border,,,,,,,,ยกเว้น…,,,,
,,,,,,,,student_m_b,ยูม้า~~~ นายช่วยสอนวิธีจีบสาวหน่อย,,,,
,,,,,,,,student_m_b,เมื่อกี้เห็นนะ คุยกันสวีทหวานแหววกับรุ่นพี่มายะคนดังของโรงเรียนด้วย,,,,
,,,,,,,,yuma,เปล่าซักหน่อย เมื่อกี้แค่คุยเรื่องทั่วไปนิดหน่อยเท่านั้นเอง,,,,
,,,,,,,,student_m_a,โกหก ฉันเห็นรุ่นพี่ชิราซากิกระเถิบเข้าใกล้ แถมเอาหน้าอกเบิ้มๆ นั่นมาดันหัวไหล่นายด้วย,,,,
,,,,,,,,student_m_b,หน้าอกเบิ้มๆ งั้นเหรอ!? คนทรยศ!,,,,
,,,,,,,,,จู่ๆ ผมก็ตกเป็นเป้าสายตาของเพื่อนร่วมชั้น,,,,
,,,1,reika,,serious_2,,reika,ยูมะ เมื่อกี้หมายความว่าไง,,reika_1_3_001,,
,,,,,,,,,ใช่แล้ว คุโรมิยะ เรกะ ประธานนักเรียนของโรงเรียนแห่งนี้อยู่ห้องเดียวกับผม นอกจากอยู่ห้องเดียวกันแล้วยังนั่งติดกันอีกต่างหาก,,,,
,,,,,,,,yuma,ก็แค่บังเอิญน่ะ,,,,
,,,,,,sadistic2_2_s,,reika,เห… นายจะบอกว่ารุ่นพี่กระเถิบเอาหน้าอกเบิ้มๆ มาดันแขนเนี่ยเป็นเรื่องบังเอิญเหรอ,,reika_1_3_002,,
,,,,,,,,yuma,ก็… แค่… บัง… เอิญ…,,,,
,,,,,,,,,ผมตอบปฏิเสธด้วยความลังเล,,,,
,,,,,,,,,ทำไมทุกคนถึงเอาแต่สนใจเรื่องหน้าอกเบิ้มๆ กัน ไม่มีเรื่องอื่นที่น่าสนใจกว่านี้แล้วหรือไง,,,,
,,,,,,,,,แล้วทำไมเรกะต้องโมโหขึ้นมาด้วยเนี่ย,,,,
,,,,,,,,,ใครก็ได้ช่วยเปลี่ยนเรื่องที,,,,
,,,,,,,,student_f_a,จะว่าไป ทั้งสองคนสนิทกันดีจัง,,,,
,,,,,,,,student_f_b,จริงด้วย ถ้าเป็นแค่คนที่ทำงานในสภานักเรียนด้วยกันเฉยๆ ก็คงไม่สนิทกันแบบนี้หรอก นายเป็นอะไรกับคุณคุโรมิยะ บอกมาเดี๋ยวนี้นะ,,,,
,,,,,,normal_2,,reika,ฉันตอบให้ก็ได้ ฉันกับยูมะเป็น—-,,reika_1_3_003,,
,,,,hide reika,,,,yuma,หยุด ขอเวลานอก!,,,,
school_corridor_noon,,,,reika,,normal,,,พอพูดจบ ผมก็ลากเรกะออกมาหน้าริมทางเดินห้องเรียน,,,,
,,,,,,,,yuma,นี่เธอจะเปิดเผยความสัมพันธ์ของพวกเราให้คนอื่นรู้ตอนนี้เลยเหรอ,,,,
,,,,,,worry2,,reika,ก็ไม่เห็นมีอะไรต้องปิดบังเลยนี่,,reika_1_3_004,,
,,,,,,,,yuma,แล้วทีเรื่องที่เธอมีไฝที่ก้น ทำไมถึงสั่งห้ามไม่ให้บอกคนอื่นล่ะ,,,,
,,,1,,,angrymeme2_2,angry,reika,ก็เพราะว่าเวลานายพูดแล้วมันจะทำให้คนอื่นเข้าใจผิดไงเล่า!,,reika_1_3_005,,
,,,,,,,,yuma,แต่ความสัมพันธ์ของพวกเรามันก็เป็นแบบนั้นไม่ใช่รึไง แบบที่ทำให้เห็นไฝที่ก้นน่ะ,,,,
,,,,,,angry2_2,,reika,นายหยุดพูดเรื่องไฝที่ก้นซักทีได้ไหม ในสมองนาย ความทรงจำที่มีร่วมกันของพวกเรามันมีอยู่แค่เรื่องเดียวหรือไงห้ะ,,reika_1_3_006,,
,,,,,,,,yuma,เธอจะบอกว่าในวันนั้นตอนที่พวกเราสองทำเรื่องสนุกๆ ด้วยกันแล้วไปอาบน้ำด้วยกัน มันไม่น่าจดจำงั้นเหรอ,,,,
,,,,,,angry,,reika,หุบปาก เดี๋ยวฉันเคลียร์เรื่องนี้เอง แล้วนายก็ไม่ต้องพูดเรื่องไฝที่ก้นหรืออะไรที่ชวนเข้าใจผิดด้วย เข้าใจไหม,,reika_1_3_007,,
,,,,,,angry3,,reika,อีกอย่าง ตอนนั้นฉันไม่ได้อาบน้ำกับนายด้วย,,reika_1_3_008,,
,,,,hide reika,,,,yuma,คร้าบๆ เข้าใจแล้ว,,,,
,,,,,,,,,พอพูดจบ พวกเราทั้งสองคนก็เดินเข้าห้องเรียน,,,,
school_classroom_noon,,,0,reika,,normal,,reika,ทุกคน ฉันขอแจ้งให้ทราบว่า……,,reika_1_3_009,,
,,,,,,,,everyone,ว่า…”,,,,
,,,,,,worry,,reika,ฉันกับยูมะพวกเราเป็นเพื่อนสมัยเด็กกัน,,reika_1_3_010,,
,,,,hide reika,,,,student_f_a,โธ่ นึกว่าจะประกาศว่าคบเป็นแฟนกัน หลอกให้ลุ้นทำไม,,,,
,,,,,,,,,ใช่แล้ว เรกะเป็นเพื่อนสมัยเด็กของผม,,,,
,,,,,,,,,พวกเราสองคนทำงานในสภานักเรียนด้วยกัน แถมยังอยู่ห้องเรียนเดียวกัน,,,,
,,,,,,,,,ผมนึกไม่ออกเลยว่ามีช่วงไหนของชีวิตบ้างที่ไม่มีเรกะอยู่ด้วย,,,,
,,,,,,,,,ตั้งแต่ประถม มัธยมต้น มัธยมปลาย ไม่ว่าตอนไหนพวกเราก็อยู่ด้วยกันตลอด,,,,
,,,,reika,,,,student_m_a,เพื่อนสมัยเด็กเหรอ พวกเธอสองคนรู้จักกันมานานแค่ไหนเหรอ,,,,
,,,,,,,,yuma,นั่นสินะ รู้จักกันมานานมากพอที่จะรู้ว่าเรกะมีไฝที่…,,,,
,,,1,,,sadistic2_2_s,,,ขณะที่ผมกำลังพูด เรกะหันมาจ้องผมด้วยสายตาอำมหิต,,,,
,,,,,,angry3_2,,reika,นานพอที่จะรู้ที่ซ่อนหนังสือลามกทั้งหมดของนายแล้วกัน ยูมะ,,reika_1_3_011,,
,,,,,,,,reika,นายคงยังไม่อยากเห็นหนังสือพวกนั้นตกอยู่ในกองเพลิงสินะ,,reika_1_3_012,,
,,,,,,,,,จิตสังหารของยัยนี่น่ากลัวชะมัด,,,,
,,,,,,,,,แม้ว่าเรื่องไฝที่ก้นของเธอเป็นเรื่องที่ยูโนะเล่าให้ฟังสมัยอาบน้ำด้วยกันกับเรกะตอนเด็กๆ ก็เถอะ,,,,
,,,,,,,,,แต่ไม่รู้ว่าเพราะอะไร ยัยนั่นถึงไม่ชอบให้พูดเรื่องไฝขนาดนั้นก็ไม่รู้,,,,
,,,,,,,,,ด้วยเหตุนี้ผมจึงจดจำได้จนถึงทุกวันนี้,,,,
,,,,,,,,student_m_b,เพื่อนร่วมชั้นชาย B: “ฉันบอกแล้ว คนอย่างยูมะไม่มีทางคบดอกฟ้าอย่างประธานนักเรียนได้หรอก”,,,,
,,,,,,,,yuma,เดี๋ยวนะ คิดว่าคนอย่างฉันไม่มีปัญญาคบกับเรกะงั้นเหรอ,,,,
,,,,,,,,everyone,ใช่,,,,
,,,,,,,,yuma,ทีแบบนี้สามัคคีกันเชียว ตอบเป็นเสียงเดียวกันอีก!?,,,,
,,,,,,ah_2,,reika,ฉันรู้จักและสนิทกับยูมะตั้งแต่สมัยประถมเพราะบ้านอยู่ใกล้กันก็เท่านั้นเอง,,reika_1_3_013,,
,,,,,,normal_2,,reika,คงไม่มีข้อสงสัยแล้วนะ,,reika_1_3_014,,
,,,,,,,,student_m_b,ยูมะ กล้าดียังไงมาแย่งคุณคุโรมิยะของฉัน,,,,
,,,,hide reika,,,,student_m_a,เดี๋ยวสิ คุณคุโรมิยะเป็นของนายตั้งแต่เมื่อไหร่,,,,
imagine,,MusMus-BGM-134,,reika,maya,,,,ถ้าพูดถึงผู้หญิงที่ได้นับความนิยมสูงที่สุดในโรงเรียนคงหนีไม่พ้นเรกะและรุ่นพี่มายะ,,,,
,,,,,,,,,ทั้งสองคนเป็นผู้หญิงที่สวย(และหน้าอกใหญ่)เหมือนกันทั้งคู่,,,,
,,,,hide reika,hide maya,,,,แต่ลักษณะทางกายภาพแตกต่างกันอย่างสิ้นเชิง,,,,
,,,,maya,,,,,รุ่นพี่มายะเป็นสาวแกลที่เข้าหาได้ง่าย ไม่ว่าใครก็สนิทสนมได้ง่าย,,,,ไล่บนลงล่าง
,,,,,,,,,ด้วยเหตุนี้จึงได้รับความนิยมในหมู่ผู้ชายอย่างล้นหลาม รวมถึงผู้หญิงบางกลุ่มด้วย,,,,
,,,,hide maya,,,,,กล่าวกันว่ามีคนสารภาพรักอยู่ตลอดเรื่อยๆ เป็นประจำ,,,,
,,,,reika,,,,,กลับกัน เรกะเป็นผู้หญิงที่ดุดัน สายตาเย็นชา เข้าถึงได้ยาก,,,,ไล่บนลงล่าง
,,,,,,,,,พอรวมกับตำแหน่งสูงสุดในโรงเรียนอย่างประธานนักเรียน,,,,
,,,,,,,,,ยิ่งทำให้เกิดภาพลักษณ์ที่เข้าถึงได้ยากขึ้นไปอีก,,,,
,,,,,,,,,แต่ก็มีผู้ชายจำนวนไม่น้อยที่พยายามพิชิตใจเรกะ,,,,
,,,,,,,,,เพราะมองว่าเป็นเรื่องที่ท้าทายและเป็นไปได้ยาก,,,,
,,,,hide reika,,,,,สมกับที่ได้รับฉายา ‘ราชินีไร้เทียมทาน’,,,,
,,,,,,,,,—------------—------------,,,,
blackboard,,MusMus-BGM-139,1,risa,,ah,,risa,ทุกคนเงียบ ได้เวลาเริ่มเรียนแล้ว,,risa_1_3_001,,
,,,,,,,,,โชคดีที่ครูริสะมาได้ถูกจังหวะ ในที่สุดความวุ่นวายในห้องเรียนได้คลี่คลายลง,,,,
,,,,,,,,,………,,,,
