bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
sunset2,,MusMus-BGM-165,,,,,,,ตอนแรกพวกเราสมาชิกสภานักเรียนวางแผนว่าหลังเลิกเรียนจะไปที่ห้างฯ พร้อมกัน,,,,"At first, the student council members planned to meet up at the mall together after school was over.",
,,,,,,,,,แต่ดูเหมือนว่าทุกคนมีภารกิจที่ต้องทำ,,,,But it seemed like everyone had tasks they needed to take care of.,
,,,,,,,,,เรกะเคลียร์งานเอกสาร คาสึมะถูกชมรมฟุตบอลดึงตัวไป ส่วนผมต้องอยู่ทำเวรตอนเย็น,,,,"Rega was clearing up some paperwork, Kasuma got called away by the football club, and I had to stay and do evening duty.",
,,,,,,,,,ทำให้แต่ละคนแยกย้ายกันกันเดินทางไปที่จุดนัดพบ,,,,So each of us ended up making our separate ways to the meeting point.,
twidol003y_19201080,,,,,,,,,ส่วนผม… ต้องส่งรายงานรายงานสรุปบทเรียนที่เป็นบทลงโทษจากการหลับในคาบเรียนเมื่อวานก่อน,,,,As for me... I had to hand in a lesson summary report as punishment for falling asleep in class yesterday.,
,,,,risa,,normal,,yuma,คุณครูริสะ ผมมาส่งรายงานสรุปบทเรียนครับ,,,,"Ms. Risa, I'm here to submit the lesson summary report.",
,,,,,,,,risa,มาแล้วเหรอ นึกว่าจะไม่ยอมส่งงานซะแล้ว,,risa_2_4_001,,You're here already? I thought you weren't going to bother turning it in.,
,,,,,,,,yuma,ผมตั้งใจทำสุดฝีมือเลยนะครับ,,,,"I put my full effort into it, you know.",
,,,,,,ah,,risa,งั้นเหรอ ถ้างั้นขอชมฝีมือหน่อย หวังว่าคงไม่ได้ทำแบบขอไปทีหรอกนะ,,risa_2_4_002,,"Is that so? Well then, let me have a look. I hope you didn't just slap something together.",
,,,,,,,,yuma,ถ้าได้เห็น ผมรับรองว่าอาจารย์ต้องอึ้งแน่ ผมใช้เวลาทั้งคืนเลย,,,,"If you see it, I guarantee you'll be amazed, teacher. I spent the whole night on it.",
,,,,hide risa,,angry,,risa,เลิกลีลาแล้วเอามาส่งซักทีเถอะ จะดีหรือไม่ดีครูเป็นคนตัดสินเอง,,risa_2_4_003,,"Enough talk, just hand it over already. I'll be the judge of whether it's good or not.",
,fertilization,MusMus-BGM-127,,,,,,,ผมหยิบผลงานชิ้นเอกของผมออกมาให้ครูริสะดู,,,,I took out my masterpiece and gave it to Ms. Risa to look at.,
,,,,,,,,,ต้องขอบคุณเรกะที่ให้ยืมสมุดจดเลคเชอร์,,,,I have to thank Rega for lending me her lecture notes.,
,,,,,,,,,ผมเลยถ่ายทอดบทเรียนในห้องออกมาได้ละเอียดขนาดนี้,,,,That's how I was able to reproduce the lesson content in such great detail.,
,,,,,,,,yuma,เป็นไงบ้างครับ ผลงานชิ้นเอกของผม,,,,"So what do you think, my magnum opus?",
,,,,,,sad,,risa,…….,,risa_2_4_004,,.....,
,,,,,,,,yuma,ประทับใจจนพูดไม่ออกเลยเหรอครับ,,,,"Speechless with admiration, are you?",
,,,,,,question,,risa,นี่มันอะไรเนี่ย ฉันบอกให้เธอทำรายงานมาส่งไม่ใช่หรือไง,,risa_2_4_005,,What on earth is this? Didn't I tell you to write a report?,
