bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,--------- POV REIKA ----------,
home_livingroom_morning,pov_reika,MusMus-BGM-029,,reika_c,,normal_2,,,วันนี้เป็นวันหยุดแท้ๆ แต่ฉันกลับถูกยูโนะเรียกมา,,,,"Even though it's a holiday, I was called over by Yuno.",
,,,,,,,,,ดูเหมือนยูโนะกำลังโกรธยูมะอีกแล้ว,,,,It seems Yuno is angry with Yuma again.,
,,,,,,ah_2,,reika,สรุปแล้ว ยูมะได้ช่วยติววิชาคณิตศาสตร์ให้มั้ย,,reika_2_10_001,,"So, did Yuma help tutor you in math?",ไม่แสดงผล
,,,,reika_c,yuno_c,angry_2,,yuno,ตอนแรกก็ติวด้วยกันอยู่หรอก แต่ว่าพี่น่ะสิ สอนอะไรก็ไม่รู้ ไม่เห็นเข้าใจเลย,,yuno_2_10_001,,"At first we were studying together, but my brother, I don't know what he was teaching. I didn't understand at all.",
,,,,,,ah,,reika,ลองให้โอกาสยูมะอีกสักครั้งเถอะนะ,,reika_2_10_002,,"Try giving Yuma another chance, okay?",
,,,,hide reika_c,hide yuno_c,endure,,yuno,ไม่เอา! ไม่เชื่อ! เชอะ!,,yuno_2_10_002,,No way! I don't believe it! Hmph!,
,,,,yuno_c,,endure,,,ดูเหมือนยูโนะจะงอนจริงจังเลย,,,,It seems Yuno is really sulking.,ไปใส่หน้า
,,,,,,,,,แบบนี้ท่าจะงานหนักนะยูมะ,,,,"This looks like it's going to be tough, Yuma.",
,,,,,,,,,ตั้งแต่ฉันมาถึง ยูโนะก็เอาแต่พูดต่อว่ายูมะไม่หยุดเลย,,,,"Since I arrived, Yuno has been constantly complaining about Yuma.",
,,,,,,,,,จนถึงตอนนี้ฉันก็ยังไม่รู้ว่าเกิดอะไรขึ้นกันแน่,,,,"Even now, I still don't know exactly what happened.",
,,,,,,,,,ลองปลอบยูโนะให้ใจเย็นกว่านี้ดีกว่า,,,,I should try to calm Yuno down.,
,,,,,,,,,,,,,,
,,,,reika_c,yuno_c,smile_2,,reika,นี่ยูโนะถ้าเกิดว่าไม่อยากติวกับยูมะ ถ้างั้นไปติวกับพี่ไหม?,,reika_2_10_003,,"Hey Yuno, if you don't want to study with Yuma, how about studying with me instead?",
,,,,,,smile4,,yuno,เย้! พี่เรกะใจดีที่สุดเลย,,yuno_2_10_003,,Yay! Big sis Reika is the best!,
,,,,hide reika_c,hide yuno_c,,,,ถึงยูมะจะเป็นคนที่เก่งคณิตศาสตร์ที่สุดในโรงเรียน แต่คนเก่งไม่ได้หมายความว่าจะสอนคนอื่นได้หรอกนะ,,,,"Even though Yuma is the best at math in school, being good doesn't always mean you can teach others well.",
,,,,,,,,,ถึงอย่างนั้นฉันก็ไม่คิดจะสอนยูโนะจริงๆหรอกนะ แต่เป็นการสอนทั้งสองพี่น้องเลยต่างหาก,,,,I don't really intend to teach Yuno alone. I'm actually planning to teach both siblings.,
