bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en
sky_summer,,MusMus-BGM-165,,,,,,,เสียงออดดังขึ้นหลังจบคาบเรียนที่ 4,,,school_alarm,The bell rings after the fourth period ends.
school_corridor_noon,,MusMus-BGM-165,,,,,,,ขณะนี้เป็นเวลาพักเที่ยง นักเรียนบางส่วนคุยเล่น บางส่วนไปห้องสมุด บางส่วนไปที่โรงอาหาร,,,,"It's now lunchtime. Some students chat, others head to the library, and some go to the cafeteria."
,,,,,,,,,ส่วนผมแวะซื้อเครื่องดื่มที่ตู้แมวน้ำบิน และไปที่ห้องสภานักเรียน,,,,"As for me, I stop by the Flying Seal vending machine to buy a drink before heading to the student council room."
school_councilroom_morning,,MusMus-BGM-143,,,,,,,เมื่อเปิดประตูห้องก็พบว่าเรกะ คาสึมะ และอากาเนะอยู่ที่ห้องสภานักเรียนแล้ว,,,door_school,"When I open the door, I find Reka, Kasuma, and Akane already there."
,,,,reika,,ah_2,,reika,ยูมะ ได้ข่าวว่าเช้าวันนี้นายมาสายเหรอ,,reika_2_3_001,,"Yuma, I heard you were late this morning?"
,,,,,,,,yuma,ไม่ได้สายซักหน่อย มาทันเวลาแบบฉิวเฉียดต่างหาก มาถึงตอน 8 โมง 29 นาทีเป๊ะๆ เลย,,,,"I wasn't late at all. I made it just in time, arriving at exactly 8:29 AM."
,,,,reika,kazuma,serious,,kazuma,คาบเส้นพอดีแบบนี้ก็ไม่ต่างจากมาสายหรอกนะ,,kazuma_2_3_001,,Cutting it that close is basically the same as being late.
,,,,,,,,yuma,ฉันมาถึงก่อน 8 โมงครึ่ง ดังนั้นยังไม่สาย ผิดกฎตรงไหน,,,,"I got here before 8:30, so I wasn't late. How is that against the rules?"
,,,,,,,,kazuma,ลองคิดตามคอมมอนเซนส์ก็ได้ การที่นายมาถึงโรงเรียนตอน 8 โมง 29 นาที 59 วินาทีแทบไม่ต่างอะไรจากการมาสายเลยนะ,,kazuma_2_3_002,,Try using some common sense. Arriving at 8:29:59 is practically no different from being late.
,,,,hide reika,hide kazuma,,,yuma,คอมมอนเซนส์ของแต่ละคนแตกต่างกัน แต่กฎก็คือกฎ จริงมั้ยอากาเนะ,,,,"Common sense differs from person to person. But rules are rules, right, Akane?"
,,,,,,,,,ผมหันไปหาอากาเนะผู้ยึดมั่นในกฎระเบียบตามตัวอักษรทุกระเบียดนิ้ว,,,,"I turn to Akane, who strictly adheres to every letter of the rules."
,,,,akane,,ah,,akane,ถึงจะไม่ค่อยเห็นด้วยกับรุ่นพี่ยูมะ แต่รุ่นพี่ยูมะพูดถูก เพราะกฎของโรงเรียนระบุว่านักเรียนต้องมาถึงโรงเรียนภายใน 8 โมง 30 นาที,,akane_2_3_001,,"Although I don't quite agree with Senior Yuma, he's correct. The school rules state that students must arrive by 8:30 AM."
,,,,,,normal,,akane,ดังนั้น หากมาก่อนเวลาแม้เพียง 1 วินาทีก็ยังไม่นับว่าสายค่ะ,,akane_2_3_002,,"So, even if it's just one second before, it's not considered late."
,,,,hide akane,,,,,อากาเนะตอบแบบไม่เต็มใจนัก,,,,"Akane replies, somewhat reluctantly."
,,,,kazuma,,angry,,,เยี่ยมยอด ต้องแบบนี้สิ ตอนนี้สองต่อหนึ่งเสียงแล้ว ว่าไงคาสึมะ,,,,"Excellent! That's how it should be. Now it's two against one. What do you say, Kasuma?"
,,,,,,,,,ผมยิ้มแบบมีเล่ห์นัย ในขณะที่คาสึมะกำลังกำหมัด,,,,I smile mischievously while Kasuma clenches his fist.
,,,,reika,,angry2_2,,reika,พอก่อน ไม่ต้องเถียงกัน,,reika_2_3_002,,"Enough, stop arguing."
,,,,,,,,,เรกะเข้ามาห้ามปรามกลางวงสนทนาที่กำลังครุกรุ่นได้ที่,,,,Reka intervenes in the heated discussion.
,,,,,,normal_2,,reika,สมมุติว่าการมาก่อน 1 วินาทีนับว่าสาย อาจจะมีนักเรียนบางคนแย้งว่ามาหลังเวลาที่กำหนด 1 วินาทีก็ไม่ควรนับว่าสาย,,reika_2_3_003,,Let's say arriving one second early counts as late. 
,,,,,,,,reika,"ถ้าหากอนุโลมให้ 1 วินาทีนับว่าสาย ก็จะเกิดคำถามตามมาว่า มาสาย 10 วินาทีได้ไหม, 1 นาทีได้ไหม ",,reika_2_3_004,,"If we allow one second, questions will arise about 10 seconds, or 1 minute. In the end, it would lead to chaos."
,,,,,,angry_2,,reika,สุดท้ายแล้วก็ไม่ต่างอะไรจากความโกลาหล,,reika_2_3_005,,Some students might argue that arriving one second after shouldn't count as late either.
,,,,,,,,reika,ด้วยเหตุนี้ โรงเรียนถึงต้องมีกฎเกณฑ์เป็นลายลักษณ์อักษรชัดเจน เพื่อความเป็นระเบียบเรียบร้อย,,reika_2_3_006,,That's why the school needs clear written rules for order.
,,,,,,,,yuma,เย้ ตอนนี้ 3 ต่อ 1 เสียงแล้ว ฉันชนะ,,,,Yes! Now it's 3 to 1. I win!
,,,,,,angry,,reika,อย่าพึ่งดีใจไป ยูมะ นายลืมอะไรไปหรือเปล่า,,reika_2_3_007,,"Not so fast, Yuma. Are you forgetting something? Reka counters."
,,,,,,,,reika,บรรทัดฐานทางสังคมไม่ได้มีแต่กฎหมายหรือกฎระเบียบอย่างเดียว ยังมีสิ่งที่เรียกว่าจารีตและวิถีประชาอยู่นะ,,reika_2_3_008,,Social norms aren't just about laws or rules. There are also customs and social conventions.
,,,,,,,,reika,คาสึมะ ลองบอกสิว่าการได้รับเลือกให้เป็นสมาชิกสภานักเรียนต้องทำอย่างไร,,reika_2_3_009,,"Kasuma, tell me how one gets elected to the student council."
,,,,kazuma,reika,normal,,kazuma,สมาชิกสภานักเรียนต้องได้รับความเห็นชอบจากนักเรียนหมู่มาก,,kazuma_2_3_003,,"Student council members need approval from the majority of students, Kasuma answers."
,,,,,,serious_2,,reika,ถูกต้อง สมาชิกสภานักเรียนปฏิบัติหน้าที่เสมือนตัวแทนของนักเรียนทุกคน,,reika_2_3_010,,Correct. Student council members act as representatives of all students.
,,,,,,,,reika,ยูมะ นายเป็นส่วนหนึ่งของสภานักเรียน ถ้าหากนักเรียนคนอื่นเห็นว่านายมาเกือบสายนายอาจจะโดนนินทาจากสังคมรอบข้าง,,reika_2_3_011,,"Yuma, you're part of the student council. If other students see you almost being late, you might be gossiped about."
,,,,,,,,reika,นายอาจจะไม่ได้ทำผิดกฎโรงเรียน แต่ผิดกฎของสังคม,,reika_2_3_012,,"You might not be breaking school rules, but you're breaking social rules."
,,,,,,angry,,kazuma,ถ้าหากนายโดนตำหนิ คนอื่นในสภานักเรียนอาจโดนตำหนิตามไปด้วย,,kazuma_2_3_004,,"If you're criticized, others in the student council might be criticized too."
,,,,akane,,angry,,akane,จำที่ฉันบอกได้ไหม คนจากสภานักเรียนต้องเป็นแบบอย่างที่ดีให้กับนักเรียนทุกคน เข้า-ใจ-ไหม,,akane_2_3_003,,Remember what I told you? People from the student council must set a good example for all students. Un-der-stand?
,,,,,,,,yuma,เข้าใจแล้วครับ ครั้งถัดไปจะระมัดระวัง,,,,"I understand. I'll be more careful next time, I concede."
,,,,hide akane,,,,,สถานการณ์ตอนนี้กลับเป็น 1 ต่อ 3 ซะงั้น ไม่มีใครอยู่ฝั่งผมเลย,,,,Now the situation is 1 to 3. No one's on my side. How did this happen?
,,,,,,,,,ไหงเป็นแบบนี้ไปได้,,,,Someone opens the door.
,,,,,,,,,ใครบางคนเปิดประตูห้อง เมื่อหันไปก็พบว่าเป็นครูริสะ,,,door_school,"When we turn, we see it's Teacher Risa."
,,,,risa,,normal,,,นอกจากครูริสะเป็นครูประจำชั้นห้องเรียนของผมและเรกะ เธอยังเป็นครูที่ปรึกษาของสภานักเรียนด้วย,,,,"Besides being the homeroom teacher for my and Reka's class, she's also the advisor for the student council."
,,,,hide risa,,,,risa,ทุกคน ผลการนับคะแนนโหวตวันก่อนไปถึงไหนแล้ว,,risa_2_3_001,,"Everyone, how far have you gotten with counting the votes from the other day?"
,,,,kazuma,,ah,,kazuma,นับคะแนนเสร็จแล้วครับ คะแนนเสียงส่วนมากบอกว่าเห็นด้วย ควรยกเลิกการจำหน่ายน้ำอัดลมในโรงเรียนครับ,,kazuma_2_3_005,,"We've finished counting, ma'am. The majority voted in favor of banning soda sales in school, Reka reports."
,,,,,,,,kazuma,นักเรียนบางส่วนแสดงความเห็นว่าชอบดื่มน้ำอัดลมเพื่อความสดชื่น แต่ก็เป็นเพียงส่วนน้อยเท่านั้น,,kazuma_2_3_006,,"Some students expressed that they like drinking soda for refreshment, but they were in the minority."
,,,,,,normal,,kazuma,82% เห็นด้วยกับการยกเลิกจำหน่ายน้ำอัดลม เหตุผลใกล้เคียงกับที่เรกะนำเสนอบนเวทีในวันก่อน,,kazuma_2_3_007,,"82% agreed with banning soda sales, for reasons similar to what Reka presented on stage the other day."
