bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
home_yuumabedroom_morning,,sunrise,,,,,,yuma,เช้าแล้วสินะ,,,,"It's morning already, huh.",
,,,,,,,,,ปกติผมมักจะรอให้ยูโนะเข้ามาปลุกตอนเช้า,,,,Usually I wait for Yuno to come wake me up in the mornings.,
,,,,,,,,,แต่วันนี้ผมต้องทำตามแผนที่คิดไว้เมื่อคืนให้สำเร็จ,,,,But today I have to successfully carry out the plan I thought of last night.,
,,,,,,,,,ด้วยเหตุนี้ผมจึงตื่นเช้ากว่าปกติ,,,,"For that reason, I woke up earlier than usual.",
,,,,,,,,,,,,,,
,,,,yuno_c,,normal,,,ยูโนะเปิดประตูเข้ามาในห้อง,,,door_open,Yuno opened the door and entered my room.,
,,,,,,,,,ทันใดนั้นผมกับยูโนะก็สบตากัน,,,,Suddenly our eyes met.,
,,,,,,panic,,yuno,พี่ตื่นแล้วเหรอ กำลังจะเข้ามาปลุกเลย,,yuno_2_6_001,,You're awake already? I was just about to come wake you.,
,,,,,,,,yuma,วันนี้มีธุระที่โรงเรียนนิดหน่อย,,,,I have a little errand to run at school today.,
,,,,,,serious_2,,yuno,พี่ตื่นเช้าแบบนี้หิมะต้องตกแน่เลย,,yuno_2_6_002,,It must be snowing if you're up this early.,
,,,,,,,,yuma,อะไรกัน แค่พี่ตื่นเช้า มันน่าแปลกใจขนาดนั้นเลยเหรอ,,,,What's the big deal? Is it that surprising for me to wake up early?,
,,,,,,,,yuno,ปกติพี่เป็นคนขี้เซา ตื่นสายไม่พอ ชอบนอนต่อรอบสองด้วย ไปโรงเรียนสายแน่,,yuno_2_6_003,,"You're usually a late riser who sleeps in, and even takes a second nap. You always end up going to school late.",
,,,,,,,,yuma,ไม่สายซักหน่อย เมื่อวานพี่ไปทันแบบฉิวเฉียด 8:29 เป๊ะเลย,,,,I'm not late at all. Yesterday I made it right on time at 8:29 sharp.,
,,,,hide yuno_c,,,,,พอพูดจบ ผมก็อาบน้ำ กินข้าว แล้วตรงดิ่งไปโรงเรียนทันที,,,,"Finishing my sentence, I quickly took a bath, ate breakfast, and headed straight to school.",
,,,,,,,,,,,,,,
,,,,,,,,,…….,,,,.......,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
住宅街２（日中）,,MusMus-BGM-066,,,,,,,,,,学校の廊下を歩く,,[Background - วิวในเมือง (fade out ช้าๆ)
,,,,,,,,,,,,,,
school_front_noon,,,,,,,,,,,,,[Background - School entrance],
,,,,,,,,,อย่างที่เคยบอกว่าบ้านของผมอยู่ใกล้กับโรงเรียน,,,,"As I mentioned before, my house is close to the school.",
,,,,,,,,,ใช้เวลาไม่นาน เดินเพียงแค่ 10 นาทีผมก็มาถึงโรงเรียนแล้ว,,,,"It only takes 10 minutes of walking, and I arrived at school in no time.",
,,,,,,,,,,,,,,
,,,,akane,,,,student_f_a,อรุณสวัสดิ์,,,,Good morning.,
,,,,,,smile,,akane,อรุณสวัสดิ์ค่ะ,,akane_2_6_001,,Good morning.,
,,,,,,,,,อากาเนะยืนอยู่หน้าประตูโรงเรียน คอยทักทายนักเรียนที่เดินผ่านมา,,,,"Akane was standing at the school gate, greeting the students who passed by.",
,,,,,,,,,ทันใดนั้นอากาเนะก็หันมาทางผม,,,,"Suddenly, Akane turned towards me.",
,,,,,,ah,,akane,อ้าว รุ่นพี่ยูมะ มาโรงเรียนแต่เช้าเลย,,akane_2_6_002,,"Oh, Yuma. You're at school so early.",
,,,,,,,,yuma,วันนี้มาเร็วแล้วนะ,,,,You sure are here early today.,
,,,,,,look,,akane,พอเห็นรุ่นพี่ยูมะมาโรงเรียนแต่เช้าแล้ว ชักสงสัยแล้วสิว่าวันนี้พระอาทิตย์จะตกทางทิศตะวันออกรึเปล่า,,akane_2_6_003,,Seeing you at school this early makes me wonder if the sun will set in the east today.,
,,,,,,,,yuma,นานๆ ทีฉันเองก็มาเช้าได้เหมือนกันนะ,,,,"Even I can make it to school early once in a while, you know.",
,,,,,,confident,,akane,ในที่สุดก็เข้าใจแล้วสินะคะ สมาชิกนักเรียนต้องเป็นแบบอย่างที่ดีให้กับนักเรียนทุกคน,,akane_2_6_004,,So you finally understand. Student council members need to set a good example for all the students.,
,,,,,,ah,,akane,ว่าแล้วก็มาช่วยงาน—,,akane_2_6_005,,"In that case, help me with--",
,,,,,,,,yuma,ขอตัวก่อนนะ วันนี้ไม่ว่าง,,,,"Sorry, I don't have time today.",
,,,,,,onegai,,akane,เดี๋ยวก่อนสิ รุ่นพี่ยูมะ,,akane_2_6_006,,"Wait a minute, Yuma.",
,,,,hide akane,,,,,มาสายแล้วโดนดุ มาก่อนเวลาก็โดนใช้งาน ทำไมชีวิตผมถึงยุ่งยากขนาดนี้,,,,"If I'm late, I get scolded. If I'm early, I get put to work. Why is my life so complicated?",
,,,,,,,,,ขอโทษทีนะอากาเนะ แต่ว่าเช้าวันนี้ผมมีสิ่งสำคัญที่ต้องทำก่อนเข้าเรียน,,,,"I'm sorry Akane, but there's something important I have to do before class this morning.",
,,,,,,,,,ผมจะต้องปกป้องรอยยิ้มของน้องสาวไว้ให้ได้,,,,I have to protect my little sister's smile no matter what.,
,,,,,,,,,……..,,,,.......,
school_fountain_noon,,MusMus-BGM-107,,,,,,,ก่อนอื่น ผมต้องตามหารุ่นพี่มายะให้เจอ,,,,"First of all, I need to find Sempai Maya.",
,,,,,,,,,เนื่องจากไม่ได้แลกเบอร์โทรหรือ LIME เอาไว้ ผมต้องตามหารุ่นพี่มายะให้เจอ,,,,"Since we haven't exchanged phone numbers or LINE IDs, I have to look for her in person.",
,,,,,,,,yuma,รุ่นพี่มายะอยู่ไหนกันนะ,,,,Where could Sempai Maya be?,
,,,,,,,,,,,,,,
,,,,,,,,yuma,ลานน้ำพุ… ไม่อยู่,,,,The fountain... Not there.,
,,,,,,,,,,,,,,
school_gym_noon,,,,,,,,yuma,โรงยิม… ไม่อยู่,,,,The gym... Not there.,
,,,,,,,,,,,,,,
school_corridor_noon,,,,,,,,yuma,ห้องเรียนชั้นปีสาม ไม่อยู่,,,,The third year classroom...Not there.,
,,,,,,,,,แปลกจัง ปกติควรอยู่ที่ห้องเรียนไม่ใช่เหรอ ตามหาจนทั่วแล้วก็ยังไม่เจอ,,,,"Strange, she should normally be in the classroom, right? I've looked everywhere and still can't find her.",
,,,,,,,,,ใจเย็นก่อนยูมะ สงบใจเข้าไว้,,,,"Calm down Yuma, keep your cool.",
,,,,,,,,,"การนับเลขทำให้จิตใจสงบได้ 0, 1, 1, 2, 3, 5, 8, 13, 21, 34",,,,"Counting helps settle the mind. 0, 1, 1, 2, 3, 5, 8, 13, 21, 34",
,,,,,,,,,เมื่อวานเราเจอรุ่นพี่มายะที่ไหนกันนะ,,,,,
,,,,,,,,,,,,,,
school_shoebox_morning,old,,,,,,,,...,,,dream,Where did we run into Sempai Maya yesterday?,
,,,,maya,,smile,,maya,อ๊ะ ยูคุงนี่นา อรุณสวัสดิ์,,maya_2_6_001,,"Oh, if it isn't Yu-kun. Good morning.",
,,,,hide maya,,,,yuma,รุ่นพี่มายะ อรุณสวัสดิ์ครับ,,,,"Good morning, Sempai Maya.",
,,,,,,,,,,,,,,
school_corridor_noon,hide old,,,,,,,,เมื่อวานเรามาสาย แสดงว่า…,,,,"Since we were late yesterday, that means...",
,,,,,,,,,รุ่นพี่มายะมาโรงเรียนสายสินะ,,,,"Sempai Maya is usually late to school, huh.",
,,,,,,,,,แล้วผมจะรีบมาโรงเรียนทำไมกัน...ขอนอนต่อได้มั้ยเนี่ย,,,,Why rush to get to school? Can't I sleep in a bit longer?,
,,,,,,,,,,,,,,[VFX - sprite รุ่นพี่มายะโผล่มาแปปเดียว แล้วออกจากเฟรม]
,,,,maya,,normal_2,,,ในขณะที่ผมกำลังจะถอดใจ ผมก็เห็นเงาของคนที่คุ้นตาเดินผ่านไป,,,,"Just as I was about to give up, I caught sight of a familiar silhouette passing by.",
,,,,hide maya,,,,yuma,รุ่นพี่มายะนี่นา,,,,It's Sempai Maya!,
,,,,,,,,yuma,รุ่นพี่มายะครับ—,,,,Sempai Maya--,
,,,,,,,,,ผมเรียกรุ่นพี่มายะ แต่ดูเหมือนจะไม่ได้ยิน,,,,"I called out to her, but she didn't seem to hear me.",
,,,,,,,,,ด้วยเหตุนี้ผมจึงไล่ตามเธอไปติดๆ,,,,So I quickly ran after her.,
,,,,,,,,,,,,,,
,,,,,,,,,………,,,,........,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,[Background - Rooftop],
school_rooftop_noon,border,MusMus-BGM-078,,,,,,,ผมจึงไล่ตามรุ่นพี่มายะไปจนมาถึงบนดาดฟ้า,,,,I chased after Sempai Maya all the way to the rooftop.,
,,,,maya,,normal,,,ดูเหมือนว่าเธอไม่ได้อยู่ตามลำพัง มีใครบางคนอยู่กับเธอด้วย,,,,It seemed she wasn't alone. Someone else was with her.,
,,,,,,,,,เมื่อมองไปก็พบกับผู้ชายคนหนึ่งทำท่าเคอะเขินประหม่า,,,,"Looking over, I saw a boy with a nervous, flustered expression.",
,hide border,,,,,,,student_m_2,ขะ…ขอโทษที่รบกวนเวลานะครับ,,,,Um...sorry for taking up your time.,ชื่อผิดหมดเลย
