bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
sunset4,,MusMus-BGM-029,,,,,,,ช่วงเย็นหลังเลิกเรียน หลังทำงานสภานักเรียนเสร็จ ผมแวะร้านสะดวกซื้อก่อนเดินทางกลับบ้าน,,,,"In the evening after school, once I finished my student council work, I stopped by a convenience store before heading home.",
home_entrance_evening,,,,yuno_c,,smile,,,เมื่อเปิดประตูบ้านก็พบกับยูโนะยืนรออยู่,,,,"When I opened the front door, I found Yuno standing there waiting.",
,,,,,,,,yuma,กลับมาแล้วครับ,,,,"I'm back, I said.",
,,,1,,,panic4_2,,yuno,เกิดเรื่องใหญ่แล้ว เมย์เดย์ เมย์เดย์ ต้องการความช่วยเหลือด่วน,,yuno_2_8_001,,"A big problem has occurred! Mayday, mayday! We need urgent help!",
,,,,,,,,,ยูโนะพูดด้วยความกระวนกระวายแบบเดียวกับตอนเล่นเกมแนว FPS,,,,Yuno spoke with the same anxiety as when she plays FPS games.,
,,,,,,,,yuma,เกิดอะไรขึ้น,,,,What happened?,
,,,,,,,,,ผมถามด้วยความเป็นห่วง,,,,I asked with concern.,
,,,,,,panic3_2,,yuno,ตอนนี้เข้าช่วงสอบแล้ว พี่ช่วยหนูทบทวนบทเรียนวิชาคณิตศาสตร์หน่อยสิ,,yuno_2_8_002,,It's exam season now. Can you help me review my math lessons?,
,,,,,,,,yuma,นึกว่าเรื่องใหญ่โตอะไร ถ้าเจอแมลงสาบในห้องน้ำก็ว่าไปอย่าง,,,,"I thought it was something major. If you found a cockroach in the bathroom, that would be different.",
,,,,,,,,,,,,,,[sprite ยูโนะสั่นไปมา (ถ้าทำได้ก็ทำ ไม่ได้ก็ช่างมัน)]
,,,,,,panic2_2,,yuno,อย่าพูดชื่อนั้นให้ได้ยินนะ หนูไม่อยากนึกถึงมัน!,,yuno_2_8_003,,Don't say that name out loud! I don't want to think about it!,
,,,,,,,,,ยูโนะตัวสั่น สีหน้าบ่งบอกว่าหวาดกลัวสุดขีด,,,,"Yuno shuddered, her face showing extreme fear.",
,,,,,,onegai_2,,yuma,ระหว่างคณิตศาสตร์กับแมลงสาบ อะไรน่ากลัวกว่ากัน,,,,"Between math and cockroaches, which is scarier?",
,,,,,,confident,shine,yuno,ครูสอนคณิตศาสตร์ที่เป็นแมลงสาบ,,yuno_2_8_004,,A math teacher who's a cockroach.,
,,,,,,,,yuma,ถ้ามีของแบบนั้นอยู่จริงพี่ก็กลัวเหมือนกัน,,,,"If something like that really existed, I'd be scared too.",
,,,,,,,,yuma,เอาเป็นว่าเดี๋ยวพี่ช่วยติวสอบให้ ขออาบน้ำก่อนนะ,,,,"Anyway, I'll help you study later. Let me take a shower first.",
,,,,,,smile4,,yuno,เย้ รักพี่ที่สุดเลย,,yuno_2_8_005,,"Yay! I love you so much, big bro!",
,,,,hide yuno_c,,,,,ยูโนะเดินไปที่ห้องรับแขกด้วยความดีใจ,,,,Yuno happily walked to the living room.,
,,,,,,,,,หลังจากนั้นผมก็นำของไปเก็บที่ห้องและอาบน้ำ แล้วตามไปที่ห้องรับแขกในครึ่งชั่วโมงถัดมา,,,,"After that, I put away my things in my room and took a shower, then joined her in the living room half an hour later.",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
home_livingroom_night,,MusMus-BGM-079,0,yuno_c,,normal,,yuma,สรุปคืออีกไม่กี่วันจะสอบวิชาคณิตศาสตร์แล้ว แต่ยังไม่เข้าใจเนื้อหา เลยอยากให้ช่วยทบทวนสินะ,,,,"So, you have a math exam in a few days, but you don't understand the content, so you want help reviewing, right?",
,,,,,,,,,เท่าที่ลองกวาดสายตาดูเนื้อหาที่ยูโนะเรียนตอนนี้เป็นเนื้อหาเกี่ยวกับการแก้สมการกำลังสอง,,,,"As I glanced over the material Yuno was studying, I saw it was about solving quadratic equations.",
,,,,,,,,,ของแค่นี้ไม่ยาก เดี๋ยวพี่ชายคนนี้จัดให้!,,,,This isn't too difficult. Your big brother will take care of it!,
,,,,,,,,,,,,,,
,,,,,,,,yuma,ก่อนอื่น ลองทำแบบฝึกหัดก่อนเรียนเพื่อทดสอบความรู้กันก่อนนะ,,,,"First, let's do some pre-study exercises to test your knowledge.",
,,,,,,question,,yuno,เอ๋? ต้องทำแบบฝึกหัดด้วยเหรอเนี่ย,,yuno_2_8_006,,Huh? Do I have to do exercises too?,
,,,,,,cry2,,yuno,แง้ พี่ใจร้ายที่สุด เอาเวลาเล่นเกมของหนูคืนมาเลยนะ!,,yuno_2_8_007,,"Waaah, you're so mean! Give me back my gaming time!",
