bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx
school_front_noon,,MusMus-BGM-107,,,,,,,ตอนนี้ผมก็มาถึงโรงเรียนแล้ว,,,
,,,,,,,,,ต้องขอบคุณคุณพ่อที่เลือกซื้อบ้านใกล้กับโรงเรียน,,,
,,,,,,,,,จากบ้านถึงโรงเรียนใช้เวลาประมาณ 10 นาที ทำให้ผมนอนดึกและตื่นสายได้,,,
,,,,akane,,ah,,akane,รุ่นพี่ยูมะ มาพอดีเลย,,akane_1_2_001,
,,,,,,normal,,akane,รองประธานฯ ฝากบอกมาว่าให้รุ่นพี่ยูมะไปที่หอประชุมด่วน,,akane_1_2_002,
,,,,,,,,yuma,เข้าใจแล้ว,,,
,,,,hide akane,,,,,นักเรียนคนอื่นเมื่อมาถึงโรงเรียนก็จะทยอยเข้าไปที่ห้องเรียนของตัวเอง,,,
,,,,,,,,,แต่เนื่องจากผมทำงานอยู่สังกัดสภานักเรียน,,,
,,,,,,,,,ผมจึงต้องช่วยงานกิจกรรมต่างๆ ของสภานักเรียนด้วย,,,
akane,,,,,,,,akane,อากาเนะ: “นักเรียนชายตรงนั้น หยุดก่อน ช่วยแต่งตัวให้เรียบร้อยหน่อย”,,akane_1_2_003,
,,,,,,,,student_m_a,ครับ!,,,
,,,,,,,,,เธอคนนี้คืออิวาโนะ อากาเนะ เป็นกรรมการฝ่ายระเบียบวินัย,,,
,,,,,,,,,ทำหน้าที่ตรวจตราและดูแลความเรียบร้อยของนักเรียนทุกคน,,,
,,,,,,,,,แม้เป็นนักเรียนชั้นปีหนึ่ง แต่ความเคร่งครัดของเธอทำให้นักเรียนชั้นปีสูงกว่าเกรงกลัวเธออย่างมาก,,,
school_front_noon,,,,,,,,,เนื่องจากผมยังไม่มีธุระอะไรกับอากาเนะในตอนนี้,,,
,,,,,,,,,ผมจึงรีบไปที่หอประชุมตามที่รองประธานฯ บอกมา,,,
school_conventionhall_lightoff,,MusMus-BGM-116,,kazuma,,,,yuma,คาสึมะ มีอะไรให้ช่วยหรือเปล่า,,,シーン切り替え1
,,,,,,ah,,kazuma,มาพอดีเลย ช่วยจัดเตรียมระบบไฟหอประชุมให้หน่อย,,kazuma_1_2_001,
,,,,,,,,yuma,วางใจได้เลย,,,
,,,1,,,normal,,,คาตาโอกะ คาสึมะ เป็นรองประธานนักเรียนสังกัดสภานักเรียน,,,
,,,,,,,,,ผลการเรียนอันดับต้นๆ ของโรงเรียน ถนัดกีฬาฟุตบอล แถมยังเป็นคนหน้าตาดี,,,
